scenario,method,feasible,total_cost,remote_flights,zone_mismatches,weighted_walk_m,service_ext_min,n_delayed
78,Optimized MILP,True,51413.9,9.0,12.0,411.85,477.0,8
79,FCFS,False,,,,,,9
79,Priority Dispatch,False,,,,,,9
79,Optimized MILP,False,,,,,,9
80,FCFS,True,54945.9,8.0,19.0,453.85,476.0,13
80,Priority Dispatch,True,49800.1,8.0,18.0,399.18,480.0,13
80,Optimized MILP,True,43850.3,6.0,12.0,369.41,400.0,13
81,FCFS,False,,,,,,14
81,Priority Dispatch,False,,,,,,14
81,Optimized MILP,False,,,,,,14
82,FCFS,True,53893.2,8.0,19.0,440.65,479.0,14
82,Priority Dispatch,True,51991.6,9.0,16.0,411.27,495.0,14
82,Optimized MILP,True,48990.0,8.0,13.0,396.84,456.0,14
83,FCFS,True,58368.5,9.0,19.0,481.46,505.0,7
83,Priority Dispatch,True,56737.4,11.0,15.0,439.61,543.0,7
83,Optimized MILP,True,49005.5,8.0,11.0,400.9,448.0,7
84,FCFS,False,,,,,,6
84,Priority Dispatch,False,,,,,,6
84,Optimized MILP,False,,,,,,6
85,FCFS,False,,,,,,7
85,Priority Dispatch,False,,,,,,7
85,Optimized MILP,False,,,,,,7
86,FCFS,False,,,,,,10
86,Priority Dispatch,False,,,,,,10
86,Optimized MILP,False,,,,,,10
87,FCFS,False,,,,,,11
87,Priority Dispatch,False,,,,,,11
87,Optimized MILP,False,,,,,,11
88,FCFS,True,61986.9,10.0,21.0,508.33,541.0,13
88,Priority Dispatch,True,54380.8,10.0,15.0,427.45,518.0,13
88,Optimized MILP,True,51605.2,9.0,11.0,415.16,476.0,13
89,FCFS,True,61259.8,10.0,17.0,504.39,523.0,13
89,Priority Dispatch,True,50104.9,9.0,13.0,392.8,485.0,13
89,Optimized MILP,True,49971.1,9.0,12.0,392.88,481.0,13
90,FCFS,False,,,,,,13
90,Priority Dispatch,False,,,,,,13
90,Optimized MILP,False,,,,,,13
91,FCFS,False,,,,,,14
91,Priority Dispatch,False,,,,,,14
91,Optimized MILP,False,,,,,,14
92,FCFS,True,61984.7,10.0,16.0,513.78,519.0,9
92,Priority Dispatch,True,54258.4,10.0,14.0,429.33,516.0,9
92,Optimized MILP,True,48982.9,8.0,10.0,402.51,444.0,9
93,FCFS,True,59497.7,9.0,18.0,498.46,502.0,14
93,Priority Dispatch,True,54405.6,10.0,15.0,427.37,519.0,14
93,Optimized MILP,True,51413.8,9.0,13.0,409.52,482.0,14
94,FCFS,True,63230.4,10.0,17.0,525.25,520.0,14
94,Priority Dispatch,True,52054.7,9.0,18.0,410.35,504.0,14
94,Optimized MILP,True,48057.5,8.0,14.0,386.25,462.0,14
95,FCFS,True,63549.9,10.0,17.0,527.16,520.0,10
95,Priority Dispatch,True,50842.2,9.0,15.0,397.42,491.0,10
95,Optimized MILP,True,47776.2,8.0,10.0,385.96,444.0,10
96,FCFS,False,,,,,,10
96,Priority Dispatch,False,,,,,,10
96,Optimized MILP,False,,,,,,10
97,FCFS,True,65981.8,11.0,16.0,545.57,545.0,3
97,Priority Dispatch,True,54572.4,10.0,16.0,429.39,525.0,3
97,Optimized MILP,True,51681.3,9.0,11.0,417.03,474.0,3
98,FCFS,True,61920.5,10.0,15.0,514.41,516.0,9
98,Priority Dispatch,True,56949.5,11.0,14.0,442.79,543.0,9
98,Optimized MILP,True,51604.6,9.0,10.0,417.07,472.0,9
99,FCFS,True,64412.0,11.0,16.0,530.62,547.0,11
99,Priority Dispatch,True,59283.2,12.0,14.0,457.52,567.0,11
99,Optimized MILP,True,51973.1,9.0,11.0,418.97,473.0,11
